,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille
Paris,0,787,476,679,945,384,492,747,584,219
Marseille,-,0,313,403,206,985,798,170,645,1012
Lyon,-,-,0,537,471,684,487,304,554,701
Toulouse,-,-,-,0,560,584,942,242,244,899
Nice,-,-,-,-,0,1142,784,327,802,1169
Nantes,-,-,-,-,-,0,866,825,347,605
Strasbourg,-,-,-,-,-,-,0,789,942,524
Montpellier,-,-,-,-,-,-,-,0,484,1001
Bordeaux,-,-,-,-,-,-,-,-,0,811
Lille,-,-,-,-,-,-,-,-,-,0
